Queue,Producer/Consumer Count,Average Latency (ns),
Linked List Queue,1,987.317,
Linked List Queue,2,363.536,
Linked List Queue,4,570.619,
Linked List Queue,6,694.809,
Linked List Queue,8,1167.61,
Circular Buffer Queue (4 cells),1,137.238,
Circular Buffer Queue (4 cells),2,128.116,
Circular Buffer Queue (4 cells),4,120.189,
Circular Buffer Queue (4 cells),6,119.521,
Circular Buffer Queue (4 cells),8,137.597,
Circular Buffer Queue (16 cells),1,142.503,
Circular Buffer Queue (16 cells),2,131.896,
Circular Buffer Queue (16 cells),4,122.358,
Circular Buffer Queue (16 cells),6,121.163,
Circular Buffer Queue (16 cells),8,152.309,
moodycamel::ConcurrentQueue,1,8972.07,
moodycamel::ConcurrentQueue,2,4655.27,
moodycamel::ConcurrentQueue,4,878.303,
moodycamel::ConcurrentQueue,6,771.17,
moodycamel::ConcurrentQueue,8,62.7543,
std::queue (Blocking),1,1095.42,
std::queue (Blocking),2,1095.42,
std::queue (Blocking),4,1304.61,
std::queue (Blocking),6,1412.46,
std::queue (Blocking),8,1387.84,
