Queue,Producer/Consumer Count,Average Latency (ns),
Linked List Queue,1,7061.25,
Linked List Queue,2,34905.1,
Linked List Queue,4,53979.3,
Linked List Queue,6,9655.77,
Linked List Queue,8,43166.2,
Circular Buffer Queue (4 cells),1,937.235,
Circular Buffer Queue (4 cells),2,489.617,
Circular Buffer Queue (4 cells),4,496.831,
Circular Buffer Queue (4 cells),6,624.644,
Circular Buffer Queue (4 cells),8,648.49,
Circular Buffer Queue (16 cells),1,1842.37,
Circular Buffer Queue (16 cells),2,1096.76,
Circular Buffer Queue (16 cells),4,701.237,
Circular Buffer Queue (16 cells),6,389.114,
Circular Buffer Queue (16 cells),8,475.918,
moodycamel::ConcurrentQueue,1,37457.6,
moodycamel::ConcurrentQueue,2,7450.05,
moodycamel::ConcurrentQueue,4,702.552,
moodycamel::ConcurrentQueue,6,1563.3,
moodycamel::ConcurrentQueue,8,3084.06,
std::queue (Blocking),1,3719.06,
std::queue (Blocking),2,6242.83,
std::queue (Blocking),4,4327.66,
std::queue (Blocking),6,92226.6,
std::queue (Blocking),8,97828.6,
