Queue,Producer/Consumer Count,Average Latency (ns),
Linked List Queue,1,1420.21,
Linked List Queue,2,866.886,
Linked List Queue,4,628.707,
Linked List Queue,6,416.801,
Linked List Queue,8,421.239,
Circular Buffer Queue (4 cells),1,118.495,
Circular Buffer Queue (4 cells),2,128.394,
Circular Buffer Queue (4 cells),4,143.556,
Circular Buffer Queue (4 cells),6,158.365,
Circular Buffer Queue (4 cells),8,183.381,
Circular Buffer Queue (16 cells),1,118.454,
Circular Buffer Queue (16 cells),2,128.75,
Circular Buffer Queue (16 cells),4,142.987,
Circular Buffer Queue (16 cells),6,157.398,
Circular Buffer Queue (16 cells),8,172.765,
moodycamel::ConcurrentQueue,1,8826.49,
moodycamel::ConcurrentQueue,2,4721.28,
moodycamel::ConcurrentQueue,4,2740.26,
moodycamel::ConcurrentQueue,6,1073.6,
moodycamel::ConcurrentQueue,8,621.366,
std::queue (Blocking),1,575.692,
std::queue (Blocking),2,860.932,
std::queue (Blocking),4,1385.73,
std::queue (Blocking),6,2090.12,
std::queue (Blocking),8,2735.5,
