Queue,Producer/Consumer Count,Average Latency (ns),
Linked List Queue,1,607.437,
Linked List Queue,2,350.694,
Linked List Queue,4,325.178,
Linked List Queue,6,361.807,
Linked List Queue,8,416.168,
Circular Buffer Queue (4 cells),1,119.636,
Circular Buffer Queue (4 cells),2,127.843,
Circular Buffer Queue (4 cells),4,141.948,
Circular Buffer Queue (4 cells),6,181.531,
Circular Buffer Queue (4 cells),8,209.54,
Circular Buffer Queue (16 cells),1,118.84,
Circular Buffer Queue (16 cells),2,127.581,
Circular Buffer Queue (16 cells),4,145.128,
Circular Buffer Queue (16 cells),6,177.044,
Circular Buffer Queue (16 cells),8,202.893,
moodycamel::ConcurrentQueue,1,1680.2,
moodycamel::ConcurrentQueue,2,984.574,
moodycamel::ConcurrentQueue,4,309.903,
moodycamel::ConcurrentQueue,6,373.99,
moodycamel::ConcurrentQueue,8,317.431,
std::queue (Blocking),1,594.448,
std::queue (Blocking),2,872.241,
std::queue (Blocking),4,1261.41,
std::queue (Blocking),6,1937.98,
std::queue (Blocking),8,2649.58,
